id,date,route_id,vh_id,route_nm,now_latitude,now_longitude,now_station,now_arrive_time,distance,next_station,next_latitude,next_longitude,next_arrive_time
0,2019-10-15,405136001,7997025,360-1,33.456267,126.55175,제주대학교입구,06시,266.0,제대마을,33.457724,126.554014,24
1,2019-10-15,405136001,7997025,360-1,33.457724,126.554014,제대마을,06시,333.0,제대아파트,33.458783000000004,126.557353,36
2,2019-10-15,405136001,7997025,360-1,33.458783000000004,126.557353,제대아파트,06시,415.0,제주대학교,33.459893,126.561624,40
3,2019-10-15,405136001,7997025,360-1,33.479705,126.543811,남국원(아라방면),06시,578.0,제주여자중고등학교(아라방면),33.48486,126.542928,42
4,2019-10-15,405136001,7997025,360-1,33.485662,126.494923,도호동,07시,374.0,은남동,33.485822,126.490897,64
5,2019-10-15,405136001,7997025,360-1,33.478867,126.483833,한라중학교/부영아파트,07시,417.0,대림2차아파트,33.47885,126.48835,160
6,2019-10-15,405136001,7997025,360-1,33.47885,126.48835,대림2차아파트,07시,334.0,연동대림1차아파트,33.4807,126.489933,58
7,2019-10-15,405136001,7997025,360-1,33.482142,126.483213,롯데마트,07시,341.0,원노형,33.483446,126.480758,64
8,2019-10-15,405136001,7997025,360-1,33.483446,126.480758,원노형,07시,185.0,노형오거리,33.485853500000005,126.48053000000002,54
9,2019-10-15,405136001,7997025,360-1,33.485853500000005,126.48053000000002,노형오거리,07시,252.0,남녕고등학교,33.488046000000004,126.483112,204
10,2019-10-15,405136001,7997025,360-1,33.488046000000004,126.483112,남녕고등학교,07시,322.0,한라병원,33.489633000000005,126.486,156
11,2019-10-15,405136001,7997025,360-1,33.489633000000005,126.486,한라병원,08시,291.0,삼무공원사거리,33.4899,126.488917,62
12,2019-10-15,405136001,7997025,360-1,33.4899,126.488917,삼무공원사거리,08시,381.0,제원아파트,33.487531,126.489892,88
13,2019-10-15,405136001,7997025,360-1,33.487531,126.489892,제원아파트,08시,267.0,은남동,33.485822,126.490897,66
14,2019-10-15,405136001,7997025,360-1,33.485822,126.490897,은남동,08시,374.0,도호동,33.485662,126.494923,158
15,2019-10-15,405136001,7997025,360-1,33.485662,126.494923,도호동,08시,321.0,연동주민센터,33.487317,126.496617,184
16,2019-10-15,405136001,7997025,360-1,33.487317,126.496617,연동주민센터,08시,455.0,제주도청 신제주로터리,33.491433,126.496783,86
17,2019-10-15,405136001,7997025,360-1,33.491433,126.496783,제주도청 신제주로터리,08시,528.0,연동입구,33.496203,126.496995,168
18,2019-10-15,405136001,7997025,360-1,33.500133,126.507,월구마을,08시,375.0,동성마을,33.500045,126.511035,30
19,2019-10-15,405136001,7997025,360-1,33.500045,126.511035,동성마을,08시,354.0,제주버스터미널,33.49993,126.514863,122
20,2019-10-15,405136001,7997025,360-1,33.49993,126.514863,제주버스터미널,08시,262.0,한국병원,33.499793,126.517687,46
21,2019-10-15,405136001,7997025,360-1,33.499793,126.517687,한국병원,08시,333.0,남서광마을입구,33.499683000000005,126.521267,118
22,2019-10-15,405136001,7997025,360-1,33.499683000000005,126.521267,남서광마을입구,08시,232.0,남서광마을,33.499789,126.523759,44
23,2019-10-15,405136001,7997025,360-1,33.499789,126.523759,남서광마을,08시,193.0,탐라장애인 종합복지관,33.500017,126.525833,36
24,2019-10-15,405136001,7997025,360-1,33.500017,126.525833,탐라장애인 종합복지관,08시,459.0,제주시청(아라방면),33.499559999999995,126.529771,66
25,2019-10-15,405136001,7997025,360-1,33.499559999999995,126.529771,제주시청(아라방면),08시,454.0,고산동산(아라방면),33.496007,126.532287,126
26,2019-10-15,405136001,7997025,360-1,33.496007,126.532287,고산동산(아라방면),08시,414.0,제주지방법원(아라방면),33.493109000000004,126.535091,130
27,2019-10-15,405136001,7997025,360-1,33.493109000000004,126.535091,제주지방법원(아라방면),08시,525.0,제주중앙여자고등학교(아라방면),33.489414000000004,126.538642,88
28,2019-10-15,405136001,7997025,360-1,33.479705,126.543811,남국원(아라방면),08시,355.0,아라초등학교,33.476533,126.544283,136
